start_id,end_id
https://www.linkedin.com/in/maximilian-pangerl-069247193,CXC Changemaker
https://www.linkedin.com/in/lizetteandersson,Owner
https://www.linkedin.com/in/pavel-lukasenko,Chief Technology Officer
https://www.linkedin.com/in/fanny-gruboeck,Head of Corporate Sustainability
https://www.linkedin.com/in/alenadique,Founder
https://www.linkedin.com/in/marnor,Co-founder & CCO (exited)
https://www.linkedin.com/in/tove-palm-95b19315b,Sustainability Manager
https://www.linkedin.com/in/shamita-chaudhary,Founder
https://www.linkedin.com/in/annacwdematos,CEO and Founder
https://www.linkedin.com/in/sara-sandstrom,Management Consultant
https://www.linkedin.com/in/tilde-wallerstr%C3%B6m-1b1648249,Content Manager
https://www.linkedin.com/in/annalisa-boano,Assortment Head
https://www.linkedin.com/in/mattbird,CEO and co-founder
https://www.linkedin.com/in/zhen-huang-335b921bb,Marketing & HR Intern
https://www.linkedin.com/in/emersonalexandre,Staff Engineer
https://www.linkedin.com/in/denizficicioglu,CEO + Founder
https://www.linkedin.com/in/eirini-gavala,Data Management
https://www.linkedin.com/in/leabauer,Looking for technical cofounders to start something in climate tech!
https://www.linkedin.com/in/daniela-garcia-sanguino,Administrative Associate
https://www.linkedin.com/in/gemma-shepherd-7919941b5,Sustainability Analyst
https://www.linkedin.com/in/nick-catania-995b294a,Head Of Methodology
https://www.linkedin.com/in/samantha-harris-8a8a2b110,"Project Manager, Mentorship Program"
https://www.linkedin.com/in/isaac-ng-52179915,Associate Head of Investment
https://www.linkedin.com/in/lukas-stallmeier-9a013b166,Investment Manager
https://www.linkedin.com/in/timosteitz,Strategic Business Development & Co-Founder
https://www.linkedin.com/in/lasse-hausser-886b06218,Community & Venture Analyst
https://www.linkedin.com/in/marie-bos,VP ESG
https://www.linkedin.com/in/shiraishi,Unreasonable Mentor
https://www.linkedin.com/in/balgozde,Sustainability Advisor
https://www.linkedin.com/in/alexanderengl,CEO and Founder
https://www.linkedin.com/in/dominic-long-innes-31a175131,Investor
https://www.linkedin.com/in/valentinsauvaire,VC
https://www.linkedin.com/in/chriskaae,Business Consultant
https://www.linkedin.com/in/c%C3%A9cilia-raza,Project Chief
https://www.linkedin.com/in/johannarichardsson,Certified Change Leader Sustainability Management
https://www.linkedin.com/in/maxblanshard,VC Investment Associate
https://www.linkedin.com/in/klara-khanzadyan-39101a91,UX/UI Designer
https://www.linkedin.com/in/jeromecloetens,Co-Founder- CEO
https://www.linkedin.com/in/karin-traeger-hermosilla,Founder and Lead Consultant
https://www.linkedin.com/in/felix-rother-821013149,Educational Leave
https://www.linkedin.com/in/nellie-olofsson-075a18204,Administratör
https://www.linkedin.com/in/shuklahalder,Environmental Health & Safety Project Manager Intern
https://www.linkedin.com/in/tobiasfalck,VD
https://www.linkedin.com/in/stina-lundkvist-9838614b,Projektledare
https://www.linkedin.com/in/mehrdad-dolatshahi,Founder & CEO
https://www.linkedin.com/in/simon-g%C3%A4rtner-6899b2a3,Software Developer
https://www.linkedin.com/in/oluwatoni-honour-afinjuomo-453a181b6,Ambassador
https://www.linkedin.com/in/remoterebellion,Chief Remote Rebel [Founder]
https://www.linkedin.com/in/hellogulo,Founder
https://www.linkedin.com/in/estefania-gomez-montoya,Associate
https://www.linkedin.com/in/petterbarve,Transformer
https://www.linkedin.com/in/hmar4530,Founder
https://www.linkedin.com/in/angelnik,Head of Business Development & Co-founder
https://www.linkedin.com/in/isak-joo-092b35242,Project Manager
https://www.linkedin.com/in/johan-sundvall-0b357382,Sustainability Manager
https://www.linkedin.com/in/charlotta-olsson-56484341,Sustainability Manager
https://www.linkedin.com/in/tom-julian-schulz,Co-Founder
https://www.linkedin.com/in/rishavkhanal,Head of Growth (Late Checkout Portfolio)
https://www.linkedin.com/in/shreeyabhattarai,Learning Engagement Coach
https://www.linkedin.com/in/yuka-nishi-391993227,Bartender
https://www.linkedin.com/in/svenia-hofmann,Recruiting Specialist
https://www.linkedin.com/in/derya-v%C3%B6llings-721352104,"Sustainability Manager, Ingka Procurement"
https://www.linkedin.com/in/paul-mccarthy-786886173,Direct Marketing Executive
https://www.linkedin.com/in/ksnov-design,Freelance UI/UX Designer | Top Rated Specialist ⭐️ | 55+ Testimonials 🏆
https://www.linkedin.com/in/dr-vijay-k-verma-9295b113a,CEO
https://www.linkedin.com/in/aman-shah-kabiri-92a278234,Community Member
https://www.linkedin.com/in/catharinaqvist,Sustainability Manager
https://www.linkedin.com/in/paulinabjork,Manager Group Sustainability Reporting
https://www.linkedin.com/in/myengdahl,Sustainability Manager
https://www.linkedin.com/in/ben-or-assaf-8501714,Founder & CEO Greeneum
https://www.linkedin.com/in/daniel-boeckenfoerde,Global Scaling Advisor
https://www.linkedin.com/in/h%C3%A9ritier-kitumaini-631b6ba0,ASHOKA Fellow
https://www.linkedin.com/in/marlene-penn-ab20a7156,Communication Assistant
https://www.linkedin.com/in/philippe-birker-94960014,Co-Founder
https://www.linkedin.com/in/susanndutt,"Sustainability Consultant, Interim Sustainability Manager, Workshop Facilitator"
https://www.linkedin.com/in/farzaneh-ahmadloo-452321151,Sustainability Manager
https://www.linkedin.com/in/youngellen,Marketing Manager
https://www.linkedin.com/in/nievesgonzalezramon,nan
https://www.linkedin.com/in/sushmita-khattri-649791227,Digital Marketing Associate
https://www.linkedin.com/in/sebastian-holmstrom,Sustainability Manager
https://www.linkedin.com/in/tobias-wendrup-43498797,Quality and Sustainability Manager
https://www.linkedin.com/in/alma-m-gabriel-197910b1,Senior Consultant | Sustainability
https://www.linkedin.com/in/josefinewittlock,Sustainability Manager
https://www.linkedin.com/in/helgi-valur-fridriksson-25697550,Assistant professor
https://www.linkedin.com/in/asif-khandigitalmarketing,Search Engine Optimization Specialist
https://www.linkedin.com/in/zanyarsalih,Resident Doctor in Gastroenterology
https://www.linkedin.com/in/hanna-stromback,Sustainability Reporting Manager
https://www.linkedin.com/in/mijal-boscoboinik-617688139,Arquitecta
https://www.linkedin.com/in/sanjidulhuda,Sustainability Platform Manager
https://www.linkedin.com/in/johanna-nordell-891a6a33,Sustainability Manager
https://www.linkedin.com/in/joris-lenssen,Director Sustainability Consulting & Team Lead
https://www.linkedin.com/in/michael-shcherbyna-6b12a816a,Managing Partner
https://www.linkedin.com/in/feyzanur-han%C3%A7er-686b90321,nan
https://www.linkedin.com/in/farhangulzar,Data Cruncher
https://www.linkedin.com/in/lucas-bleher-0359ab1b7,Climate Action Advisor
https://www.linkedin.com/in/julia-cassel,Sustainability Manager
https://www.linkedin.com/in/ericka-castillero-rodr%C3%ADguez-4963791a6,Sustainability Manager
https://www.linkedin.com/in/britta-sieling,Sustainability Manager
https://www.linkedin.com/in/camilla-waldmark-79a84422,Group Communications & Sustainability Manager
https://www.linkedin.com/in/jonasmichanek,Director Incubator Development Sweden
https://www.linkedin.com/in/emmailyngedal,Sustainability Project Manager - International Onboarding
https://www.linkedin.com/in/ulrika-viderum-3875b436,Strategisk konsult med inrikting på hållbara affärer
https://www.linkedin.com/in/dusko-filipovic,Sustainability Manager
https://www.linkedin.com/in/eckertkristin,"Managing Director, Latin America"
https://www.linkedin.com/in/isabelle-van-der-graaf-104997106,Sustainability Solution Consultant
https://www.linkedin.com/in/jonathan-gromark-72493b20,Sustainability Manager
https://www.linkedin.com/in/colleen-good-%F0%9F%8C%BB-7b42213a,Member Success Executive
https://www.linkedin.com/in/nadineflatt,Program Manager
https://www.linkedin.com/in/sophia-wolf-564a04181,Sustainability Manager
https://www.linkedin.com/in/sara-jivenius-b6ba9042,Head Of Sustainability
https://www.linkedin.com/in/malin-goransson,Quality & Sustainability Manager
https://www.linkedin.com/in/lena-loelfing,Sustainability Manager
https://www.linkedin.com/in/nina-fall-3065a974,Group Sustainability Manager
https://www.linkedin.com/in/evelina-danielsson-valladares-04ab92142,Sustainability Manager
https://www.linkedin.com/in/pernillaleijon,Sustainability Platform Manager
https://www.linkedin.com/in/lyndsey-parette-6008506a,Senior Sustainability Manager
https://www.linkedin.com/in/kristian-sandberg-098a4a1,Sustainability Manager
https://www.linkedin.com/in/theresegerdman,Head of ESG / Global Sustainability Manager
https://www.linkedin.com/in/pavlina-blanarikova,Consultant for Sustainability & ESG
https://www.linkedin.com/in/bj%C3%B6rn-johansson-4177976,Global Sustainability Manager
https://www.linkedin.com/in/ida-sundewall-aba06213b,Customer Success Team Lead
https://www.linkedin.com/in/rebecca-thomsen,Sustainability Information Manager
https://www.linkedin.com/in/klas-briland-1329422,Senior Sustainability Manager
https://www.linkedin.com/in/rebecca-pryce-153680103,Sustainability Manager Public Affairs
https://www.linkedin.com/in/sigridurhrund,Investor
https://www.linkedin.com/in/guillaumeberrehouc,Founder
https://www.linkedin.com/in/johannesfiegenbaum,Sustainability & Marketing Consultant
https://www.linkedin.com/in/kevin-mtai-580091156,Co-Founder
https://www.linkedin.com/in/marcofrancoo,Founder
https://www.linkedin.com/in/michaelburkhardt,Business Mentor
https://www.linkedin.com/in/johannespaulkauert,Marketing & Sales Manager
https://www.linkedin.com/in/socialentrepreneurjohan,Sakkunnig i Effektmätning / Impact Management Specialist
https://www.linkedin.com/in/sidhant-patnaik-b079081a5,Project Manager - Data Room
https://www.linkedin.com/in/lisa-remnelid,Co-Founder
https://www.linkedin.com/in/aleynakolak,Project Management Intern
https://www.linkedin.com/in/marie-skachko,Main Mover
https://www.linkedin.com/in/gulseeylulonal,Head of Finance
https://www.linkedin.com/in/frederik-moss-nielsen-57844b1a7,Idrottspsykologisk rådgivare
https://www.linkedin.com/in/patrik-josefsson-276a7a104,Business Developer/Fire and rescue officer
https://www.linkedin.com/in/ryangersava,Founder and Chairman
https://www.linkedin.com/in/can-%C3%B6zkubat-33947276,Owner
https://www.linkedin.com/in/steve-misati,Founder & Director
https://www.linkedin.com/in/nasir-abbax,IT Officer
https://www.linkedin.com/in/kingsleyagwara,nan
https://www.linkedin.com/in/beckdaniela,Virtual CFO & Solopreneur
https://www.linkedin.com/in/natalie-schwab-3a5a62276,Professional | Financial Services Tax
https://www.linkedin.com/in/julian-bierig-00b4631b1,Junior Project Manager
https://www.linkedin.com/in/callixte-dushimiyimana-851851121,"Student Representative - Urban Studies: Urban Business and Development, Master's Programme"
https://www.linkedin.com/in/yaren-inal-b1011a1a2,Application Specialist
https://www.linkedin.com/in/david-bergman-0192561,Owner
https://www.linkedin.com/in/rashidquddus,Senior Business Development Manager
https://www.linkedin.com/in/mehmet-kaan-taspunar,Intern
https://www.linkedin.com/in/irina-fadieieva,Circkelledare
https://www.linkedin.com/in/erwin-vanmassenhove-88846812,Managing Director & CEO
https://www.linkedin.com/in/sebastianbaer,Senior Manager
https://www.linkedin.com/in/lara-thomas-0502342a8,Managerin Commodities and Trading
https://www.linkedin.com/in/manalbidar,Children & Youth Pavilion Steering Committee
https://www.linkedin.com/in/jourike-nonkes-31150ba4,Customer Support Specialist
https://www.linkedin.com/in/jehad-abdulrahim-137a37a0,VD
https://www.linkedin.com/in/azeemhamid,Content and Design Manager
https://www.linkedin.com/in/hovhannesaghajanyan,Senior IT Project Manager / Systems Analyst
https://www.linkedin.com/in/robertolazzaro,Founder
https://www.linkedin.com/in/bontu-lucie-guschke,Lecturer
https://www.linkedin.com/in/meritulmer,Co-Founder
https://www.linkedin.com/in/nbialobrzewska,Founder & Executive Director
https://www.linkedin.com/in/miriam-sweeney-035810135,Core Team Member
https://www.linkedin.com/in/mailrowan,Investment Manager
https://www.linkedin.com/in/mohalhaifi,Founder & Regenerative Growth Director
https://www.linkedin.com/in/tanzilakhaninclusion,Founder
https://www.linkedin.com/in/satu-koivumaki-b136b396,Business Owner
https://www.linkedin.com/in/jana-budkovskaja,Chief Executive Officer
https://www.linkedin.com/in/filippos-iakovidis-202245114,Sales Associate
https://www.linkedin.com/in/kapil-raina-6a5a7a6,Founder & CEO
https://www.linkedin.com/in/skysheridan,Founder
https://www.linkedin.com/in/anna-katinka-neetzke-svensson-b03090169,Projektledare
https://www.linkedin.com/in/oskar-lundquist-456432257,Chief Executive Officer
https://www.linkedin.com/in/josef-bichlmeier,UI/UX Designer
https://www.linkedin.com/in/nikolaj-bra%C3%BCner-bjerge-b977b9103,Videnskabelig assistent
https://www.linkedin.com/in/martine-agnes-andersen-873b64284,Serviceassistent
https://www.linkedin.com/in/sarraganouchi,"Partnerin, Designerin"
https://www.linkedin.com/in/liangzhenni,Angel Investor
https://www.linkedin.com/in/gustaf-follin-75b9881,Director of Technical Operations
https://www.linkedin.com/in/sophie-j%C3%A4rls%C3%A4ter-a2461726b,Visual Producer
https://www.linkedin.com/in/karina-zaur-a278b427,Administrative and Technical Support Assistant
https://www.linkedin.com/in/ellenzimmermann,Werkstudentin Venture Development
https://www.linkedin.com/in/anthonyatkins,Chief Revenue Officer (CRO)
https://www.linkedin.com/in/fabian-schmid-pham-4736b127b,Rechtsanwalt
https://www.linkedin.com/in/sabinewiesmueller,Director AI | Europe
https://www.linkedin.com/in/sergio-l%C3%B3pez-ramos-14854b14,Sustainability Strategist & CEO
https://www.linkedin.com/in/j%C3%B6rn-nehmzow-937388210,Vertriebsleiter - National Key Accounts
https://www.linkedin.com/in/elza-shehu-19735621b,Substitute floor host
https://www.linkedin.com/in/giedregaizauskaite-poe,RTT Practitioner and Coach
https://www.linkedin.com/in/ana%C3%AFs-k,Formatrice en observation du cycle menstruel pour la gestion autonome de la fertilité
https://www.linkedin.com/in/rijul-bhaskar-821192217,Co-Founder
https://www.linkedin.com/in/johan-astrom,Chief Sales Officer (CSO)
https://www.linkedin.com/in/hemant-sagar-64639216a,Assistant Manager
https://www.linkedin.com/in/arpit-goel-265491145,"Content Ambassador, Voiz Academy"
https://www.linkedin.com/in/batoul-husseini-66106812,Executive Director Government Affairs- Strategic Markets
https://www.linkedin.com/in/ricardaronsson,Architect / BIM- & Digital Design Manager
https://www.linkedin.com/in/angeliknehme,Head Reporter - MENA Region
https://www.linkedin.com/in/johanna-c%C3%A4cilia-w%C3%BCschner,Consultant
https://www.linkedin.com/in/benjamin-varese-sustainability-business,Chief Sales Officer
https://www.linkedin.com/in/veronika-kima-zeile-75193651,"CFO, Director Projects"
https://www.linkedin.com/in/ibrahim8zalat,Social Innovation & Impact Entrepreneurship Consultant
https://www.linkedin.com/in/lena-ianonis-13a159220,"Founder, Board President"
https://www.linkedin.com/in/julia-stockinger-78a8b217b,Content Manager
https://www.linkedin.com/in/lisa-baur-50940b163,Co-Founder
https://www.linkedin.com/in/kerstinrosenhammer,HR Business Partner
https://www.linkedin.com/in/dr-christian-oliver-hofmann-a16967273,Geschäftsführer
https://www.linkedin.com/in/christian-schmidt-00121a229,Geschäftsführer
https://www.linkedin.com/in/ahmad-albonia,nan
https://www.linkedin.com/in/hannah-hoffmann-b00b43172,Senior Consultant
https://www.linkedin.com/in/jernejdekleva,Venture Manager
https://www.linkedin.com/in/luise-billen,Advisor International Affairs and Public Relations
https://www.linkedin.com/in/lisa-fischer-profile,Director E-Commerce ONMYSKIN
https://www.linkedin.com/in/muellerkristina,Head of People & Culture
https://www.linkedin.com/in/matthias-wiciok-7153ab201,Director Advisory & Solutions
https://www.linkedin.com/in/anna-gawrilow,Referentin für Personalmarketing & Employer Branding
https://www.linkedin.com/in/aditi-ramola,Technical Director
https://www.linkedin.com/in/rachele-chwee-b3422685,Membership Engagement Manager
https://www.linkedin.com/in/omar-abdel-rahman,Technical Consultant Project Lead
https://www.linkedin.com/in/minh-thuy-tran-55977ba9,Event-Designerin
https://www.linkedin.com/in/charlotte-altmann,GTM Consulting & Interim Management (B2B / SaaS)
https://www.linkedin.com/in/marianasygin,"Managementberatung, Teamentwicklung und Coaching"
https://www.linkedin.com/in/orkhan-jafarov-founder03,Founder
https://www.linkedin.com/in/sharafudheen-s-s-58566b224,Head of Business Development
https://www.linkedin.com/in/miusher,Founder | Business Consultant & Coach | Community Builder | Investor
https://www.linkedin.com/in/nick-huijs,Co-Founder & Managing Director
https://www.linkedin.com/in/fedegomezg,Executive Director
https://www.linkedin.com/in/minoru-sasaki,ディレクター
https://www.linkedin.com/in/polianadias,Co-Founder | PR Manager | Comms Specialist
https://www.linkedin.com/in/george-daniel-barbu,Business Development Director - Global Airports
https://www.linkedin.com/in/elena-de-weck-b64569,Co-Founder & CCO
https://www.linkedin.com/in/maia-reshef-hoffmann-b0909765,Graphic Designer
https://www.linkedin.com/in/gadgeeked,Founder
https://www.linkedin.com/in/olawallstrom,"Educator in Transformative Leadership and Realizing Ideas fast, Public Speaker"
https://www.linkedin.com/in/lotte-ohlander-a4126a2ab,"Barnmorska, operasångerska, musikalartist"
https://www.linkedin.com/in/maria-r-32a553185,Web Developer
https://www.linkedin.com/in/simongbromberg,Founder & CEO
https://www.linkedin.com/in/jlopeziii,"EVP, Partner"
https://www.linkedin.com/in/godertsassen,Founder
https://www.linkedin.com/in/kevin-osborne-b7083b23,SDG #17 PARTNERSHIPS FOR THE GOALS
https://www.linkedin.com/in/sachinjacobk,Organizer/Volunteer
https://www.linkedin.com/in/nikolaskonstantin,Writer
https://www.linkedin.com/in/oliver-dauert-49016075,Founder
https://www.linkedin.com/in/matthiasscheffelmeier,Co-Founder and Managing Director
https://www.linkedin.com/in/igor-luketina,Environmental Engineer
https://www.linkedin.com/in/stracimir-bojevi%C4%87-8394hde1,Web Developer
https://www.linkedin.com/in/matisse-d-005b50171,Responsable campagne Climat
https://www.linkedin.com/in/natalia-vasnier-a134b81a7,Reporter Wealth Manager
https://www.linkedin.com/in/reine-metlej,Advisor to the Minister
https://www.linkedin.com/in/jihed-bousaha-%F0%9F%8E%A5-b8a691224,Creative Producer
https://www.linkedin.com/in/nadine-schratzberger-b90625142,Nachhaltigkeitsberaterin
https://www.linkedin.com/in/vanderakt,Co-Founder
https://www.linkedin.com/in/dijanagalijasevic,CEO & Co-Founder
https://www.linkedin.com/in/joseph-munyandamutsa-487ba01b7,Chief Executive Officer
https://www.linkedin.com/in/ana%C3%AFs-pronovost-morgan-344745205,Substitute Teacher
https://www.linkedin.com/in/elenaruizarenas,Founder - Fractional CMO
https://www.linkedin.com/in/eatsalog,Product | Comms
https://www.linkedin.com/in/liamantolin,Senior Full Stack Developer
https://www.linkedin.com/in/superfried,Founder | Graphic Designer
https://www.linkedin.com/in/jesperstenmark,Co-Founder & CEO
https://www.linkedin.com/in/polinavishnia,Co-Founder
https://www.linkedin.com/in/emmaheiling,Founder & CEO
https://www.linkedin.com/in/maria-ippolyti-mastakouri,Intern
https://www.linkedin.com/in/bosman-anouk,Marketing Communications Lead
https://www.linkedin.com/in/guillaumericharddevesvrotte,Co-Founder
https://www.linkedin.com/in/peter-vodegel,Assistant nature restoration and product development
https://www.linkedin.com/in/lara-boye,Geschäftsführerin / Co-Founder
https://www.linkedin.com/in/riccardo-duri,Chef de projet
https://www.linkedin.com/in/tiya-kavrakova-694a6318a,Business & Product Developer
https://www.linkedin.com/in/rowandrury,Associate Consultant
https://www.linkedin.com/in/andyirvinese,Innovation & Development Leader
https://www.linkedin.com/in/alexandra-coughlin-31707063,Fellow - Sustainability Consulting Accelerator
https://www.linkedin.com/in/rosie-nilsson,"Grundskollärare, Henriksdalskolan"
https://www.linkedin.com/in/anita-varga,Regional Project Leader
https://www.linkedin.com/in/aisyah-nabila-na,Malmö Food Incubator Coordinator
https://www.linkedin.com/in/gryningstjerna,Marketing Technologist
https://www.linkedin.com/in/johannihlen,Founder/CEO
https://www.linkedin.com/in/michael-mund-1291782b6,Key-Account-Manager
https://www.linkedin.com/in/antonschilling,Managing Partner
https://www.linkedin.com/in/emil-rasthofer,Administrative Tätigkeit
https://www.linkedin.com/in/linus-frank-4bb966b3,Investmentmanager und Startup-Berater
https://www.linkedin.com/in/annie-garofalo,CEO + Founding Team Relationship Expert
https://www.linkedin.com/in/melaniejonesebb,"National Director, CRE & Dealer Partnerships"
https://www.linkedin.com/in/enzoa,CEO
https://www.linkedin.com/in/danielishikawa,Founder & CEO
https://www.linkedin.com/in/kostapanosm,Corporate Social Responsibility & Corporate Communications Project Manager
https://www.linkedin.com/in/sofiavolkova,Business Development Manager
https://www.linkedin.com/in/hulthe,Näringspolitiskt ansvarig
https://www.linkedin.com/in/robertfirebreath,COO
https://www.linkedin.com/in/moralestapia,Research Assistant
https://www.linkedin.com/in/alexmains,Business analyst blockchain
https://www.linkedin.com/in/alba-bici,Information Technology Business Partner
https://www.linkedin.com/in/almirkrso,Kundansvarig Konsultchef Tech/Engineering
https://www.linkedin.com/in/seoexpertshofikbd,Junior SEO Specialist
https://www.linkedin.com/in/ansh-bhandari,Founder
https://www.linkedin.com/in/dmitryp-v,Chief Operating Officer
https://www.linkedin.com/in/olena-davyd-32b7051b7,3D visualization project manager
https://www.linkedin.com/in/navmeet-singh-barmi,Product Owner (Power Platform)
https://www.linkedin.com/in/mlcipriani,Fondatrice & Dirigeante de NAECO
https://www.linkedin.com/in/dr-lennart-weiss,Chief Executive Officer
https://www.linkedin.com/in/pepijnduijvestein,Director & owner
https://www.linkedin.com/in/anna-greil,Founder and CEO
https://www.linkedin.com/in/juuliakarjula,CEO & Co-Founder
https://www.linkedin.com/in/veronika-mercks-7669b549,Prozessbegleiterin/Gestalterin von ganzheitlichen Erfahrungs- & Lernräumen /Community Building
https://www.linkedin.com/in/esther-hayes-grossman,Lead Learning Designer
https://www.linkedin.com/in/ninamannheimer,CPO & Co-founder
https://www.linkedin.com/in/zuzannazzielinska,Founder
https://www.linkedin.com/in/celinedillmann,Co-Director & Facilitator
https://www.linkedin.com/in/cesargonzalezf,Changemakers for the Planet 2024
