org_id,name
IKEA,IKEA
AI Sweden,AI Sweden
Fýri Resort,Fýri Resort
Kaper i Landskrona AB,Kaper i Landskrona AB
A.P. Moller - Maersk,A.P. Moller - Maersk
Helsingborgs stad,Helsingborgs stad
Innovation Skåne AB,Innovation Skåne AB
Orestad Innovation City Copenhagen,Orestad Innovation City Copenhagen
Kävlinge kommun,Kävlinge kommun
Principles of Intrapreneurial Capital,Principles of Intrapreneurial Capital
Pattrnz,Pattrnz
Techarenan,Techarenan
Fryshuset,Fryshuset
PlanetPeople AB,PlanetPeople AB
rek.ai,rek.ai
iHubs Sweden,iHubs Sweden
Innovation & Product Development,Innovation & Product Development
Kungsbacka kommun,Kungsbacka kommun
nan,nan
Freelance,Freelance
inClimate.com (formerly ClimateU),inClimate.com (formerly ClimateU)
Inter IKEA Systems B.V.,Inter IKEA Systems B.V.
Solved - The Cleantech Company,Solved - The Cleantech Company
Inrupt,Inrupt
Jessica Adams Coaching & Consulting,Jessica Adams Coaching & Consulting
Columbia | SIPA,Columbia | SIPA
SEE Learning Sverige,SEE Learning Sverige
New tech,New tech
Nrsstudios,Nrsstudios
Self-employed,Self-employed
Sustainability Collaborative,Sustainability Collaborative
Cocoon Program,Cocoon Program
Bo R. Andersson Bra Resultat AB,Bo R. Andersson Bra Resultat AB
FileandGo,FileandGo
NaturaTech LAC,NaturaTech LAC
GEN Europe,GEN Europe
ReGen Civics,ReGen Civics
SURF,SURF
Klöckner Pentaplast,Klöckner Pentaplast
The Abundance Fellowship,The Abundance Fellowship
Minc,Minc
Linköping University,Linköping University
SadrabSanat,SadrabSanat
Self-Employed,Self-Employed
AI Planet,AI Planet
AdvanceTech,AdvanceTech
Büro für Wagemut - Office for Audacity,Büro für Wagemut - Office for Audacity
Regenerative Futures,Regenerative Futures
International IDEA,International IDEA
Görakommunikation,Görakommunikation
ChangemakerXchange,ChangemakerXchange
Visit Skåne AB,Visit Skåne AB
Skill Lab,Skill Lab
Glutamat Kommunikation GmbH,Glutamat Kommunikation GmbH
Alpek,Alpek
Aya Data,Aya Data
"Riskoria Advising and Professional Services, LLC","Riskoria Advising and Professional Services, LLC"
The Customer Bureau,The Customer Bureau
Semantic Partners,Semantic Partners
Storytel,Storytel
Mercy Ships,Mercy Ships
Médecins Sans Frontières (MSF),Médecins Sans Frontières (MSF)
Capgemini Invent,Capgemini Invent
Startup in Stealth Mode,Startup in Stealth Mode
Graphifi,Graphifi
Norna,Norna
Genera Research Ltd.,Genera Research Ltd.
CHARISMA NOVA GmbH 🇨🇭Creative Agency for Future-Fit Transformations,CHARISMA NOVA GmbH 🇨🇭Creative Agency for Future-Fit Transformations
METRO.digital,METRO.digital
Future Branch Development,Future Branch Development
PwC Nederland,PwC Nederland
Lunds kommun,Lunds kommun
Ultipa,Ultipa
Issun Space,Issun Space
McMaster University,McMaster University
ALOHAS Regenerative Foundation,ALOHAS Regenerative Foundation
Saga Performance,Saga Performance
WonderBalance,WonderBalance
FMO - Dutch entrepreneurial development bank,FMO - Dutch entrepreneurial development bank
BMW Group,BMW Group
European Commission,European Commission
De La Paz Education Services,De La Paz Education Services
Google,Google
PwC Czech Republic,PwC Czech Republic
REBORRN,REBORRN
IndyKite,IndyKite
Leverhulme Centre for the Future of Intelligence,Leverhulme Centre for the Future of Intelligence
Knowit,Knowit
ProSiebenSat.1 Media SE,ProSiebenSat.1 Media SE
Baby Journey,Baby Journey
Mindsmiths,Mindsmiths
UBS,UBS
TransAct - TRANSformation for sustainability in ACTion,TransAct - TRANSformation for sustainability in ACTion
Neo4j,Neo4j
SoftServe,SoftServe
Snowflake,Snowflake
Eidra,Eidra
SISP - Swedish Incubators & Science Parks,SISP - Swedish Incubators & Science Parks
Genting Plantations,Genting Plantations
IBM,IBM
Hållbar Utveckling Skåne,Hållbar Utveckling Skåne
The NinetyNine AB,The NinetyNine AB
JD Sports Fashion plc,JD Sports Fashion plc
Mékong Plus Cambodia,Mékong Plus Cambodia
ReFab Lab,ReFab Lab
Universität Osnabrück,Universität Osnabrück
Danske Bank,Danske Bank
Spring Rain Pvt Ltd,Spring Rain Pvt Ltd
CEI CONFERENZA EPISCOPALE ITALIANA,CEI CONFERENZA EPISCOPALE ITALIANA
GreenMetrica,GreenMetrica
Studio Miradora,Studio Miradora
accilium,accilium
Bosch Energy and Building Solutions,Bosch Energy and Building Solutions
Your.Rentals,Your.Rentals
Artificial Intelligence I Real Estate | Investments | Wineyards Holding,Artificial Intelligence I Real Estate | Investments | Wineyards Holding
Ingka Centres,Ingka Centres
AMTA Association for Machine Translation in the Americas,AMTA Association for Machine Translation in the Americas
NYSA Sweden,NYSA Sweden
&Olives Travel,&Olives Travel
Drivkraft Malmö,Drivkraft Malmö
ReLowCode,ReLowCode
Kristianstad University,Kristianstad University
TOKSTARK,TOKSTARK
Amaris Consulting,Amaris Consulting
The Happiness Museum,The Happiness Museum
BrewDog,BrewDog
Capgemini Sverige AB,Capgemini Sverige AB
Department of Science and Technology,Department of Science and Technology
Microsoft,Microsoft
T-Kartor,T-Kartor
Capgemini,Capgemini
Siva Jeyam Granites,Siva Jeyam Granites
International Data Spaces Association (IDSA),International Data Spaces Association (IDSA)
BORRN,BORRN
LC Ventures Oy,LC Ventures Oy
Mobile Heights,Mobile Heights
IntegrityNext,IntegrityNext
Innovisor,Innovisor
Hövding Sverige AB,Hövding Sverige AB
Oxford Semantic Technologies,Oxford Semantic Technologies
Devoteam Creative Tech,Devoteam Creative Tech
Revolut,Revolut
Global Gurus,Global Gurus
Sparbanken Skåne,Sparbanken Skåne
Airbus,Airbus
Conference Producer,Conference Producer
EPAM Systems,EPAM Systems
Mashup,Mashup
Superprof,Superprof
LifeStyle Management AB,LifeStyle Management AB
Prospect Engine,Prospect Engine
2021.AI,2021.AI
Plutoshift AI,Plutoshift AI
Burlövs kommun,Burlövs kommun
Malcon Invest,Malcon Invest
The House,The House
Credo AI,Credo AI
Ideon Science Park,Ideon Science Park
Simula Metropolitan Center for Digital Engineering,Simula Metropolitan Center for Digital Engineering
Earley Information Science,Earley Information Science
Systems Limited,Systems Limited
IKEA IBERICA SA,IKEA IBERICA SA
Red Hat,Red Hat
Empathy.co,Empathy.co
IKEA Group,IKEA Group
Decathlon Digital,Decathlon Digital
Multiply,Multiply
Ocos,Ocos
molotuff,molotuff
Nord Security,Nord Security
MD Anderson Cancer Center,MD Anderson Cancer Center
SAP,SAP
Hotell Fängelset i Västervik,Hotell Fängelset i Västervik
LeadGenX,LeadGenX
Equanimity Engineering AB,Equanimity Engineering AB
Mars,Mars
Why Summits,Why Summits
SMISS,SMISS
Växjö kommun,Växjö kommun
Strawberry,Strawberry
Inter IKEA Group,Inter IKEA Group
European Innovation Council and SMEs Executive Agency (EISMEA),European Innovation Council and SMEs Executive Agency (EISMEA)
Hugging Face,Hugging Face
Cognician Group,Cognician Group
McKinsey & Company,McKinsey & Company
Inter IKEA,Inter IKEA
RegenBeings,RegenBeings
Lederne - Danmarks største lederorganisation,Lederne - Danmarks største lederorganisation
Oatly,Oatly
University of Agder (UiA),University of Agder (UiA)
Planet Wild,Planet Wild
Friwa Invest,Friwa Invest
Booz Allen Hamilton,Booz Allen Hamilton
"IMK - Department of Media and Communication, University of Oslo (UiO)","IMK - Department of Media and Communication, University of Oslo (UiO)"
Customer Alliance,Customer Alliance
Traace,Traace
Danish Ministry of Defence Personnel Agency,Danish Ministry of Defence Personnel Agency
Aalborg University,Aalborg University
NOCA,NOCA
Koncernservice,Koncernservice
Topsoe,Topsoe
Milestone Systems,Milestone Systems
Krovna organizacija mladih Srbije - KOMS (National Youth Council of Serbia),Krovna organizacija mladih Srbije - KOMS (National Youth Council of Serbia)
Circular Library Network (previously Munasafn RVK Tool Library),Circular Library Network (previously Munasafn RVK Tool Library)
Nordconn International,Nordconn International
Precise Biometrics,Precise Biometrics
Vrije Universiteit Amsterdam (VU Amsterdam),Vrije Universiteit Amsterdam (VU Amsterdam)
IAMRUNBOX,IAMRUNBOX
OpenX Lab,OpenX Lab
The Impact Fellowship™,The Impact Fellowship™
bp,bp
Aalborg University Copenhagen,Aalborg University Copenhagen
UNICEF,UNICEF
Publicis Groupe Middle East,Publicis Groupe Middle East
Emotional Fitness Sweden,Emotional Fitness Sweden
CESA,CESA
the LEGO Group,the LEGO Group
Nordic Sustainability,Nordic Sustainability
Humber College,Humber College
Smart Wings Introduction Services,Smart Wings Introduction Services
PANTARHEI Corporate Advisors,PANTARHEI Corporate Advisors
We The Haven,We The Haven
UnternehmerTUM,UnternehmerTUM
Circ™,Circ™
TeleClinic,TeleClinic
IDC,IDC
Volvo Cars,Volvo Cars
Uli's Kitchen,Uli's Kitchen
The Israeli Association for Ethics in Artificial Intelligence,The Israeli Association for Ethics in Artificial Intelligence
Deloitte,Deloitte
Bemsiq,Bemsiq
Malmö University,Malmö University
CB Range and CB Supply IKEA at Inter IKEA Group,CB Range and CB Supply IKEA at Inter IKEA Group
European University Institute,European University Institute
waterdrop®,waterdrop®
Prospect Schools,Prospect Schools
Testbirds,Testbirds
New York University,New York University
Essity,Essity
Allia,Allia
ECOFIDES Consulting GmbH,ECOFIDES Consulting GmbH
Footprint Intelligence,Footprint Intelligence
Lægerne Danmark,Lægerne Danmark
Futurewave,Futurewave
Yale University,Yale University
Psyche,Psyche
Swaas AB,Swaas AB
SKAD AG,SKAD AG
UX Mining,UX Mining
NewSplitter,NewSplitter
Предприниматель,Предприниматель
Swedish Nutra,Swedish Nutra
Wageningen University & Research,Wageningen University & Research
Bundesministerium für Inneres (BMI),Bundesministerium für Inneres (BMI)
Rheinische Friedrich-Wilhelms-Universität Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn
Nederlandse AI Coalitie | NL AIC,Nederlandse AI Coalitie | NL AIC
Forschungsinstitut für Nachhaltigkeit (RIFS),Forschungsinstitut für Nachhaltigkeit (RIFS)
Umeå University,Umeå University
"Institute for Science and Ethics, University of Bonn","Institute for Science and Ethics, University of Bonn"
Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster
Universiteit van Amsterdam,Universiteit van Amsterdam
The University of Bonn,The University of Bonn
"Bonn Sustainable AI Lab, IWE","Bonn Sustainable AI Lab, IWE"
Campus of Art and Design • Trier University of Applied Sciences,Campus of Art and Design • Trier University of Applied Sciences
POLI.design,POLI.design
Weavy,Weavy
UNFCCC,UNFCCC
Decathlon,Decathlon
Ally,Ally
Stealth Startup,Stealth Startup
Dallmer GmbH + Co. KG,Dallmer GmbH + Co. KG
EDUCATION EMPOWERMENT FOR RURAL AND URBAN SLUMS INITIATIVE,EDUCATION EMPOWERMENT FOR RURAL AND URBAN SLUMS INITIATIVE
Pinteg,Pinteg
Amplify AB,Amplify AB
Barry Callebaut Group,Barry Callebaut Group
