prof_id,title
Digital Ethicist,Digital Ethicist
Partner Manager | South Node,Partner Manager | South Node
Souschef,Souschef
Ägare,Ägare
Governance Manager - Risk Centre of Excellence,Governance Manager - Risk Centre of Excellence
Head of Innovation Support Unit (Enhetschef),Head of Innovation Support Unit (Enhetschef)
Innovation Manager,Innovation Manager
Director,Director
Guide och utvecklare,Guide och utvecklare
Process- & projektledare,Process- & projektledare
Author,Author
Intraprenör,Intraprenör
Arbetsmarknadscoach/Studie- och yrkesvägledare,Arbetsmarknadscoach/Studie- och yrkesvägledare
Co-Founder and CEO,Co-Founder and CEO
Projektledare,Projektledare
CEO & Founder,CEO & Founder
Project Leader for NextGen Solutions,Project Leader for NextGen Solutions
Head of Sales & Co-Founder,Head of Sales & Co-Founder
"Project, learning & community manager","Project, learning & community manager"
"Lärare och IT-pedagog, Komvux Helsingborg","Lärare och IT-pedagog, Komvux Helsingborg"
INNOVATION AND PRODUCT DEVELOPMENT,INNOVATION AND PRODUCT DEVELOPMENT
Innovation Management,Innovation Management
nan,nan
Innovation Consultant,Innovation Consultant
Service Designer,Service Designer
Enterprise Architect,Enterprise Architect
Founder & CEO,Founder & CEO
Business owner - IKEA Knowledge Graph,Business owner - IKEA Knowledge Graph
Chief Innovation Officer,Chief Innovation Officer
Director Business Development - Europe,Director Business Development - Europe
Business Mentor & Strategist for Female Founders & Leaders,Business Mentor & Strategist for Female Founders & Leaders
Adjunct Faculty,Adjunct Faculty
CEO & Co-founder,CEO & Co-founder
Facilitator,Facilitator
AI & Digital management consultant,AI & Digital management consultant
Entrepreneur & consultant,Entrepreneur & consultant
Intern,Intern
"CEO, founder, mentor","CEO, founder, mentor"
Ägare/VD,Ägare/VD
Marketing and Communication,Marketing and Communication
Senior Advisor,Senior Advisor
Project Development Manager,Project Development Manager
Games Facilitator & ReGen Civics Campus,Games Facilitator & ReGen Civics Campus
Emerging Technology Advisor,Emerging Technology Advisor
Marketing Communications Manager,Marketing Communications Manager
Steward & Program Facilitator,Steward & Program Facilitator
Business Coach,Business Coach
Associate Professor in Communication Design and Information Systems,Associate Professor in Communication Design and Information Systems
Research Engineer,Research Engineer
Software Developer,Software Developer
Recruitment Resourcer,Recruitment Resourcer
Co-Founder,Co-Founder
Founder and CEO,Founder and CEO
Communications Officer,Communications Officer
Senior konsult i egen verksamhet,Senior konsult i egen verksamhet
"Product Information Specialist, Specialist Function, Range Operation","Product Information Specialist, Specialist Function, Range Operation"
Core Team Member,Core Team Member
UX/ Service Designer,UX/ Service Designer
Learning Engagement Coach,Learning Engagement Coach
CEO,CEO
User Experience Manager,User Experience Manager
Automatizacion y Control de Porcesos Industriales,Automatizacion y Control de Porcesos Industriales
Investor and ex-Alumni,Investor and ex-Alumni
User Experience Writer,User Experience Writer
AI & Cybersecurity Strategist,AI & Cybersecurity Strategist
AI Deep Learning Data Scientist,AI Deep Learning Data Scientist
Chairman of the Executive Board,Chairman of the Executive Board
Senior Consultant - Ontologist,Senior Consultant - Ontologist
Chair,Chair
Software Engineer,Software Engineer
Board Member,Board Member
Data Protection Officer,Data Protection Officer
Consultant,Consultant
Head of Data,Head of Data
Co Founder,Co Founder
Head of Office and Administration,Head of Office and Administration
Founder+CEO | Principal Brand+Business Strategist,Founder+CEO | Principal Brand+Business Strategist
Data Analyst,Data Analyst
Public Speaker and Master of Ceremonies (MC),Public Speaker and Master of Ceremonies (MC)
Partner Data & Artificial Intelligence | Responsible AI Lead | University Lecturer/Researcher,Partner Data & Artificial Intelligence | Responsible AI Lead | University Lecturer/Researcher
Manager Digital strategy and innovation,Manager Digital strategy and innovation
VP of Global Partnerships & Alliances,VP of Global Partnerships & Alliances
Systemutvecklare/System Developer,Systemutvecklare/System Developer
