start_id,end_id
https://www.linkedin.com/in/petterbarve,Head of Development
https://www.linkedin.com/in/fredrik-adams-a1744,Founder CEO
https://www.linkedin.com/in/farhadniyoz,"CEO, founder, mentor"
https://www.linkedin.com/in/magnus-florin-3aa07b7b,Founder and leader
https://www.linkedin.com/in/erikatanos,"Project, learning & community manager"
https://www.linkedin.com/in/pohall,Ägare
https://www.linkedin.com/in/mariaserenabaretta,Projektledare
https://www.linkedin.com/in/brittaduvehansen,Intrapreneur
https://www.linkedin.com/in/paldobrin,Sustainability transformation - Inner development - Method developer
https://www.linkedin.com/in/jessica-cassland-0b596a12,Lärare
https://www.linkedin.com/in/maximilian-pangerl-069247193,CXC Changemaker
https://www.linkedin.com/in/amandaefthimiou,"Founder, Speaker, Coach"
https://www.linkedin.com/in/rlvdm,"Organisational, Leadership and Transformation Coach and Mentor"
https://www.linkedin.com/in/magda-torres,Founder
https://www.linkedin.com/in/niklasblidfors,Facilitator
https://www.linkedin.com/in/mpenhoet,Founder - Director
https://www.linkedin.com/in/%C3%B6mer-moltay-6558489,Sustainability Consultant / Outsourced Services for Sustainability
https://www.linkedin.com/in/isha-dev-9990071a1,Summer Research Intern
https://www.linkedin.com/in/pedro-morgado-48401540,Coordenador Regional de Saúde Mental
https://www.linkedin.com/in/andrian-kreye-ba2187b8,Redakteur
https://www.linkedin.com/in/josefine-yrjans-384101184,Facilitator/partner
https://www.linkedin.com/in/deanlindsay,World's 30 Best Sales Speaker & Trainers 2024
https://www.linkedin.com/in/victoria-lakomova,Organizational Development
https://www.linkedin.com/in/agustinaispizua,Marketing and Events Consultant
https://www.linkedin.com/in/cecilia-wickenberg-rosengren-119711b4,Verksamhetschef kommunala gymnasieskolorna
https://www.linkedin.com/in/gustav-elmberger-4075161,Counselor and coach
https://www.linkedin.com/in/david-falcon-adasme-5677602a5,Managing Partner - Sustainable and Climate Services
https://www.linkedin.com/in/arlondenteuling,Managing Partner
https://www.linkedin.com/in/dan-ivanescu-1bb33b92,Rechtsanwalt
https://www.linkedin.com/in/simon-persson-027b31290,nan
https://www.linkedin.com/in/fanny-ketter-93025075,Production Coordinator
