prof_id,title
Head of Development,Head of Development
Founder CEO,Founder CEO
"CEO, founder, mentor","CEO, founder, mentor"
Founder and leader,Founder and leader
"Project, learning & community manager","Project, learning & community manager"
Ägare,Ägare
Projektledare,Projektledare
Intrapreneur,Intrapreneur
Sustainability transformation - Inner development - Method developer,Sustainability transformation - Inner development - Method developer
Lärare,Lärare
CXC Changemaker,CXC Changemaker
"Founder, Speaker, Coach","Founder, Speaker, Coach"
"Organisational, Leadership and Transformation Coach and Mentor","Organisational, Leadership and Transformation Coach and Mentor"
Founder,Founder
Facilitator,Facilitator
Founder - Director,Founder - Director
Sustainability Consultant / Outsourced Services for Sustainability,Sustainability Consultant / Outsourced Services for Sustainability
Summer Research Intern,Summer Research Intern
Coordenador Regional de Saúde Mental,Coordenador Regional de Saúde Mental
Redakteur,Redakteur
Facilitator/partner,Facilitator/partner
World's 30 Best Sales Speaker & Trainers 2024,World's 30 Best Sales Speaker & Trainers 2024
Organizational Development,Organizational Development
Marketing and Events Consultant,Marketing and Events Consultant
Verksamhetschef kommunala gymnasieskolorna,Verksamhetschef kommunala gymnasieskolorna
Counselor and coach,Counselor and coach
Managing Partner - Sustainable and Climate Services,Managing Partner - Sustainable and Climate Services
Managing Partner,Managing Partner
Rechtsanwalt,Rechtsanwalt
nan,nan
Production Coordinator,Production Coordinator
Grundare,Grundare
Marketing Manager,Marketing Manager
Global Entrepreneurship and Innovation Coordinator,Global Entrepreneurship and Innovation Coordinator
CEO,CEO
Agribusiness Consultant,Agribusiness Consultant
Sustainability Advisor,Sustainability Advisor
"CEO & Advisor, Leadership, Resilience and Corporate Cultures","CEO & Advisor, Leadership, Resilience and Corporate Cultures"
Rektor,Rektor
Communications & Community Manager,Communications & Community Manager
Sustainability & Quality Manager,Sustainability & Quality Manager
Communication Officer,Communication Officer
Communications and Design Consultant,Communications and Design Consultant
Senior Consultant Sustainable Development,Senior Consultant Sustainable Development
"Director, Office of Sustainability","Director, Office of Sustainability"
Lecturer for AI for Innovation and Entrepreneurship,Lecturer for AI for Innovation and Entrepreneurship
Responsable Division Leadership Pédagogique,Responsable Division Leadership Pédagogique
SEL/SEN Lead,SEL/SEN Lead
European Board Member of Emory University SEE Learning,European Board Member of Emory University SEE Learning
Ambassador,Ambassador
Karriär- och ledarskapscoach,Karriär- och ledarskapscoach
Founder & Quantum Consultant,Founder & Quantum Consultant
Student,Student
Head of Administration,Head of Administration
Resident Artist & Designer User Experience,Resident Artist & Designer User Experience
Sustainability Specialist,Sustainability Specialist
Svenska som andraspråk lärare,Svenska som andraspråk lärare
CEO & Founder,CEO & Founder
Diretora de Projetos e Parcerias,Diretora de Projetos e Parcerias
Affärsutvecklare,Affärsutvecklare
President,President
Tuohy Private Tutoring,Tuohy Private Tutoring
Partneransvarig,Partneransvarig
PYP Grade 5 Teacher,PYP Grade 5 Teacher
Board Member,Board Member
Founder and CEO,Founder and CEO
Områdeschef,Områdeschef
Senior Futurist & Head of Innovation and Technology,Senior Futurist & Head of Innovation and Technology
"Chief Sustainability Officer, School Director, Principal Educator","Chief Sustainability Officer, School Director, Principal Educator"
Communication Manager,Communication Manager
Project Development Manager,Project Development Manager
Education- and Sustainability Designer / Head of Degree Programmes in Visual Arts,Education- and Sustainability Designer / Head of Degree Programmes in Visual Arts
Junior Office Co-ordinator,Junior Office Co-ordinator
Executive Director,Executive Director
